type,question,subject,predicate,answer
1-node Property Search,"For person_3_account_1_order_3, return the companyName",person_3_account_1_order_3,companyName,"[""Gonzalez Group""]"
1-node Property Search,"For person_9_account_2_order_3, return the firstName",person_9_account_2_order_3,firstName,"[""Sandra""]"
1-node Property Search,"For person_8_account_1_order_2, return the companyName",person_8_account_1_order_2,companyName,"[""Blair, Webster and Ferrell""]"
1-node Property Search,"For person_1_account_1_order_2, return the lastName",person_1_account_1_order_2,lastName,"[""Simpson""]"
1-node Property Search,"For person_6_account_2_order_1, return the bankName",person_6_account_2_order_1,bankName,"[""Santander Bank""]"
2-node Property Search,"For person_4_account_1, return the bankName",person_4_account_1,bankName,"[""KeyBank""]"
2-node Property Search,"For person_7_account_1_order_3_item_1, return the type",person_7_account_1_order_3_item_1,type,"[""LineItem""]"
2-node Property Search,"For person_7_account_1_order_1, return the orderCustomer",person_7_account_1_order_1,orderCustomer,"[""person_7""]"
2-node Property Search,"For person_1_account_1_order_1_item_2, return the productName",person_1_account_1_order_1_item_2,productName,"[""Color Race Home & Garde""]"
2-node Property Search,"For person_1_account_1_order_1, return the fullName",person_1_account_1_order_1,fullName,"[""Adam Simpson""]"
1-node Depth-First Search,"For person_8_account_1_order_1_item_2, find the type",person_8_account_1_order_1_item_2,type,"{""path"": [[""person_8_account_1_order_1_item_2"", ""type"", ""LineItem""]], ""values"": [""LineItem""]}"
1-node Depth-First Search,"For person_9_account_2_order_2, find the companyEmail",person_9_account_2_order_2,companyEmail,"{""path"": [[""person_9_account_2_order_2"", ""orderCompany"", ""org_2""], [""org_2"", ""companyEmail"", ""cynthia69@example.com""]], ""values"": [""cynthia69@example.com""]}"
1-node Depth-First Search,"For person_9, find the type",person_9,type,"{""path"": [[""person_9"", ""type"", ""Customer""]], ""values"": [""Customer""]}"
1-node Depth-First Search,"For person_6_account_1_order_1_item_1, find the itemNumber",person_6_account_1_order_1_item_1,itemNumber,"{""path"": [[""person_6_account_1_order_1_item_1"", ""itemNumber"", ""1""]], ""values"": [""1""]}"
1-node Depth-First Search,"For person_2_account_1_order_1, find the lastName",person_2_account_1_order_1,lastName,"{""path"": [[""person_2_account_1_order_1"", ""orderCustomer"", ""person_2""], [""person_2"", ""lastName"", ""Hamilton""]], ""values"": [""Hamilton""]}"
2-node Depth-First Search,"For person_9_account_1_order_2, find the lastName",person_9_account_1_order_2,lastName,"{""path"": [[""person_9_account_1_order_2"", ""orderPayment"", ""person_9_account_1""], [""person_9_account_1"", ""bankAccountOwner"", ""person_9""], [""person_9"", ""lastName"", ""Jones""]], ""values"": [""Jones""]}"
2-node Depth-First Search,"For org_1, find the companyPhone",org_1,companyPhone,"{""path"": [[""org_1"", ""companyPhone"", ""960-382-7471""]], ""values"": [""960-382-7471""]}"
2-node Depth-First Search,"For person_7_account_1_order_3, find the orderItem",person_7_account_1_order_3,orderItem,"{""path"": [[""person_7_account_1_order_3"", ""orderItem"", ""person_7_account_1_order_3_item_1""]], ""values"": [""person_7_account_1_order_3_item_1""]}"
2-node Depth-First Search,"For person_4_account_1_order_1, find the bankAccountOwner",person_4_account_1_order_1,bankAccountOwner,"{""path"": [[""person_4_account_1_order_1"", ""orderPayment"", ""person_4_account_1""], [""person_4_account_1"", ""bankAccountOwner"", ""person_4""]], ""values"": [""person_4""]}"
2-node Depth-First Search,"For person_7_account_1_order_2, find the companyID",person_7_account_1_order_2,companyID,"{""path"": [[""person_7_account_1_order_2"", ""orderCompany"", ""org_4""], [""org_4"", ""companyID"", ""99-6684603""]], ""values"": [""99-6684603""]}"
Breadth-First Search,"For person_1_account_1_order_2_item_1, find the shortest path to type",person_1_account_1_order_2_item_1,type,"{""path"": [[""person_1_account_1_order_2_item_1"", ""type"", ""LineItem""]], ""values"": [""LineItem""]}"
Breadth-First Search,"For person_6_account_1_order_1, find the shortest path to bankAccountId",person_6_account_1_order_1,bankAccountId,"{""path"": [[""person_6_account_1_order_1"", ""orderPayment"", ""person_6_account_1""], [""person_6_account_1"", ""bankAccountId"", ""e8107eec-1b5b-4d76-9561-3ac546a1cc11""]], ""values"": [""e8107eec-1b5b-4d76-9561-3ac546a1cc11""]}"
Breadth-First Search,"For person_9_account_1_order_2, find the shortest path to type",person_9_account_1_order_2,type,"{""path"": [[""person_9_account_1_order_2"", ""type"", ""PurchaseOrder""]], ""values"": [""PurchaseOrder""]}"
Breadth-First Search,"For person_3_account_1_order_3, find the shortest path to bankAccountName",person_3_account_1_order_3,bankAccountName,"{""path"": [[""person_3_account_1_order_3"", ""orderPayment"", ""person_3_account_1""], [""person_3_account_1"", ""bankAccountName"", ""Emergency Fund Account""]], ""values"": [""Emergency Fund Account""]}"
Breadth-First Search,"For person_6_account_2_order_1_item_3, find the shortest path to type",person_6_account_2_order_1_item_3,type,"{""path"": [[""person_6_account_2_order_1_item_3"", ""type"", ""LineItem""]], ""values"": [""LineItem""]}"
