type,question,subject,predicate,answer
1-node Property Search,"For person_4_account_1_order_1, return the telephone",person_4_account_1_order_1,telephone,"[""+1-523-293-0666""]"
1-node Property Search,"For person_6_account_1_order_1, return the customer",person_6_account_1_order_1,customer,"[""person_6""]"
1-node Property Search,"For person_6_account_1_order_1, return the description",person_6_account_1_order_1,description,"[""Property cultural now stock together war join. Leg away four hard collection experience entire. Apply room teach also the speech....""]"
1-node Property Search,"For person_4_account_1, return the accountHolder",person_4_account_1,accountHolder,"[""person_4""]"
1-node Property Search,"For person_1_account_1_order_2, return the orderDate",person_1_account_1_order_2,orderDate,"[""2025-04-10""]"
2-node Property Search,"For person_8_account_1_order_3, return the email",person_8_account_1_order_3,email,"[""travischristopher@example.org"", ""laura01@example.org""]"
2-node Property Search,"For org_1, return the url",org_1,url,"[""""]"
2-node Property Search,"For person_2_account_1, return the givenName",person_2_account_1,givenName,"[""Nicole""]"
2-node Property Search,"For person_9_account_1_order_1, return the customer",person_9_account_1_order_1,customer,"[""person_9""]"
2-node Property Search,"For person_7_account_2_order_1, return the type",person_7_account_2_order_1,type,"[""Order"", ""Organization"", ""BankAccount"", ""Person""]"
1-node Depth-First Search,"For org_4, find the description",org_4,description,"{""path"": [[""org_4"", ""description"", ""Property cultural now stock together war join. Leg away four hard collection experience entire. Apply room teach also the speech....""]], ""values"": [""Property cultural now stock together war join. Leg away four hard collection experience entire. Apply room teach also the speech....""]}"
1-node Depth-First Search,"For person_6, find the identifier",person_6,identifier,"{""path"": [[""person_6"", ""identifier"", ""514-14-3250""]], ""values"": [""514-14-3250""]}"
1-node Depth-First Search,"For org_2, find the telephone",org_2,telephone,"{""path"": [[""org_2"", ""telephone"", ""+1-523-293-0666""]], ""values"": [""+1-523-293-0666""]}"
1-node Depth-First Search,"For person_5_account_1, find the bankAccountType",person_5_account_1,bankAccountType,"{""path"": [[""person_5_account_1"", ""bankAccountType"", ""Business Checking""]], ""values"": [""Business Checking""]}"
1-node Depth-First Search,"For person_1_account_2, find the identifier",person_1_account_2,identifier,"{""path"": [[""person_1_account_2"", ""identifier"", ""a3a88771-cc0a-4a7a-ba80-1620b604666b""]], ""values"": [""a3a88771-cc0a-4a7a-ba80-1620b604666b""]}"
2-node Depth-First Search,"For person_7_account_2_order_2, find the givenName",person_7_account_2_order_2,givenName,"{""path"": [[""person_7_account_2_order_2"", ""customer"", ""person_7""], [""person_7"", ""givenName"", ""Latoya""]], ""values"": [""Latoya""]}"
2-node Depth-First Search,"For person_9_account_1, find the servicer",person_9_account_1,servicer,"{""path"": [[""person_9_account_1"", ""servicer"", ""US Bank""]], ""values"": [""US Bank""]}"
2-node Depth-First Search,"For person_3_account_1, find the familyName",person_3_account_1,familyName,"{""path"": [[""person_3_account_1"", ""accountHolder"", ""person_3""], [""person_3"", ""familyName"", ""Wilson""]], ""values"": [""Wilson""]}"
2-node Depth-First Search,"For person_6_account_1_order_1, find the legalName",person_6_account_1_order_1,legalName,"{""path"": [[""person_6_account_1_order_1"", ""seller"", ""org_4""], [""org_4"", ""legalName"", ""Hughes, Reynolds and Matthews Ltd.""]], ""values"": [""Hughes, Reynolds and Matthews Ltd.""]}"
2-node Depth-First Search,"For person_7_account_2_order_1, find the orderNumber",person_7_account_2_order_1,orderNumber,"{""path"": [[""person_7_account_2_order_1"", ""orderNumber"", ""PO-812602""]], ""values"": [""PO-812602""]}"
Breadth-First Search,"For person_8_account_1_order_3, find the shortest path to email",person_8_account_1_order_3,email,"{""path"": [[""person_8_account_1_order_3"", ""seller"", ""org_2""], [""org_2"", ""email"", ""travischristopher@example.org""]], ""values"": [""travischristopher@example.org""]}"
Breadth-First Search,"For person_7_account_1_order_1, find the shortest path to legalName",person_7_account_1_order_1,legalName,"{""path"": [[""person_7_account_1_order_1"", ""seller"", ""org_1""], [""org_1"", ""legalName"", ""Mcdaniel-Decker Pty Ltd""]], ""values"": [""Mcdaniel-Decker Pty Ltd""]}"
Breadth-First Search,"For person_10_account_1, find the shortest path to accountMinimumInflow",person_10_account_1,accountMinimumInflow,"{""path"": [[""person_10_account_1"", ""accountMinimumInflow"", ""8014.3""]], ""values"": [""8014.3""]}"
Breadth-First Search,"For person_10_account_1_order_2, find the shortest path to accountId",person_10_account_1_order_2,accountId,"{""path"": [[""person_10_account_1_order_2"", ""paymentMethod"", ""person_10_account_1""], [""person_10_account_1"", ""accountId"", ""840906225355""]], ""values"": [""840906225355""]}"
Breadth-First Search,"For person_8_account_1_order_1, find the shortest path to customer",person_8_account_1_order_1,customer,"{""path"": [[""person_8_account_1_order_1"", ""customer"", ""person_8""]], ""values"": [""person_8""]}"
